"Table 3: 7,000 buildings benefitted from noise reduction resulting from urban vegetation in Scotland"
Number of buildings where road noise levels are mitigated by natural capital in Scotland

"Noise band 
in noise metric 
by decibel¹","Number of buildings benefitting from noise mitigation by urban vegetation² 
(rounded to the nearest thousand)",,,,
,England,Scotland,Wales,"Northern
Ireland",UK
More than 80,-,"                              - ","                              -","                              -",
75.0-79.9,"1,000","                              - ",-,-,
70.0-74.9,"8,000",-,"1,000",-,
65.0-69.9,"36,000","1,000","3,000","1,000",
60.0-64.9,"98,000","6,000","8,000","4,000",
Total,"143,000","7,000","12,000","5,000","167,000"

Source: ,Eftec and others (2018)
Notes
1,5 dBA bands applied along with guidance in Defra’s noise pollution: economic analysis published in 2014. 
2,"Urban vegetation includes large woodlands (>3,000m²) and smaller woodlands (<3,000m²), but not very small woodlands (<200m²). "
