"Table 1: Total area of selected European Nature Information System (Level 2 and 3) habitat classes of interest, measured in hectares, UK, 2025"


EUNIS Class,Extent (Ha)
A1 - Littoral rock and other hard substrata,"22,364"
A2.1 - Littoral coarse sediment,"7,231"
A2.2 - Littoral sand and muddy sand,"163,905"
A2.3 - Littoral mud ,"82,250"
A2.4 - Littoral mixed sediments ,"7,474"
A2.5 - Coastal saltmarshes and saline reedbeds ,"11,229"
A2.6 - Littoral sediments dominated by aquatic angiosperms ,"2,471"
A2.7 - Littoral biogenic reefs ,"4,693"
A3 - Infralittoral rock and other hard substrata,"314,266"
A4 - Circalittoral rock and other hard substrata,"1,323,801"
A5.1 - Sublittoral coarse sediment ,"16,250,936"
A5.2 - Sublittoral sand ,"25,353,535"
A5.3 - Sublittoral mud ,"6,781,030"
A5.4 - Sublittoral mixed sediments ,"1,358,394"
A6.1 - Deep-sea rock and artificial hard substrata,"261,024"
A6.2 - Deep-sea mixed substrata ,"7,318,234"
A6.3 - Deep-sea sand ,"2,495,327"
A6.4 - Deep-sea muddy sand ,"5,094,500"
A6.5 - Deep-sea mud ,"15,540,984"
Total Area,"82,393,647"

Source: ,UK Atlas of Seabed Habitats: combined map v2025.1 from the Joint Nature Conservation Committee
