"Figure 8: The area of seabed that is dredged has decreased by 29% between 2001 and 2022",""
"Marine aggregate area of seabed dredged, England and Wales, 2001 to 2022",""
"",""
"Notes",""
"Unit","km^2^"
"",""
"Year","Area dredged (km2)"
"2001","150.6"
"2002","149.8"
"2003","143.8"
"2004","134.5"
"2005","137.6"
"2006","140.6"
"2007","135"
"2008","138"
"2009","124"
"2010","105"
"2011","114"
"2012","97"
"2013","99"
"2014","85.66"
"2015","82.67"
"2016","87.53"
"2017","90.94"
"2018","97.87"
"2019","105.12"
"2020","101.04"
"2020","106.35"
"2022","107.4"
