"Figure 1: Fossil fuels accounted for almost a quarter of the total annual value of services in 2016",""
"Annual value by service, Scotland, 2016",""
"",""
"Notes","1. Noise mitigation annual value for 2017 is included."
"Unit","£ million, 2018 prices"
"",""
"","£ million, 2018 prices"
"Fossil fuels","869"
"Carbon sequestration","749"
"Recreation","567"
"Agriculture","514"
"Fish capture","243"
"Recreation and aesthetic (house prices)","242"
"Renewables","199"
"Timber","146"
"Minerals","133"
"Water abstraction","121"
"Air pollutant removal","75"
"Noise mitigation","1"
"Urban cooling","1"
