"Figure 22: Wind power represented 72% of Scottish renewable generation in 2018",""
"Electricity generated from renewable sources, Scotland, 2000 to 2018",""
"",""
"Notes","1. Bioenergy includes landfill gas, sewage gas, and other bioenergy."
"Unit","Gigawatt hours"
"",""
"","Solar","Bioenergy","Wave or tidal","Wind","Hydro"
"2000","","89.60","-","216.70","4665.30"
"2001","","219.70","-","245.20","3737.50"
"2002","","237.10","-","406.10","4455.40"
"2003","","373.50","-","448.90","2902.00"
"2004","","509.00","-","848.40","4474.80"
"2005","","592.60","-","1280.90","4612.20"
"2006","","707.75","-","2022.90","4224.90"
"2007","","666.25","-","2644.00","4692.94"
"2008","0.01","992.43","0.04","3361.52","4704.47"
"2009","0.01","1168.31","0.06","4555.12","4858.90"
"2010","0.78","1287.57","0.04","4872.63","3258.11"
"2011","8.70","1273.84","0.45","7256.16","5329.64"
"2012","69.95","1458.26","0.74","8291.68","4846.58"
"2013","95.92","1371.67","1.39","11151.19","4369.48"
"2014","143.16","1716.12","2.15","11700.01","5483.61"
"2015","185.23","1863.58","1.99","13878.00","5814.02"
"2016","276.51","1897.58","0.01","12393.56","4944.47"
"2017","289.58","2447.98","4.19","16919.81","5329.53"
"2018","328.80","2133.55","9.30","18997.75","5003.89"
