"Table 12: Estimates of amount spent (£, current prices) on publicly funded research on UK mountains, moorlands and heathland (as of 25 September 2019)"


Year,Amount spent on publicly funded research (£),
2006,"13,238.98",
2007,"216,864.16",
2008,"761,810.42",
2009,"631,560.07",
2010,"551,303.65",
2011,"412,416.33",
2012,"591,497.09",
2013,"478,667.65",
2014,"340,760.67",
2015,"301,777.82",
2016,"140,785.20",
2017,"533,060.73",
2018,"938,721.37",
2019,"567,294.45",
2020,"180,553.86",
2021,"142,461.14",
2022,"142,461.14",
2023,"142,461.14",
2024,"106,553.13",

Source: ,Office for National Statistics
