"Table 13: 167,000 buildings in the UK benefited from noise reduction owing to woodland"
"Number of buildings where road noise levels are mitigated by woodlands, decibel, UK, 2017"

Noise band in noise metric by decibel,Number of buildings benefiting from noise mitigation by urban vegetation (rounded to the nearest thousand),,,,
,England,Scotland,Wales,Northern Ireland,UK
Greater than or equal to 80,-,-,-,-,0
75.0 to 79.9,"1,000",-,-,-,"1,000"
70.0 to 74.9,"8,000",-,"1,000",-,"9,000"
65.0 to 69.9,"36,000","1,000","3,000","1,000","41,000"
60.0 to 64.9,"98,000","6,000","8,000","4,000","116,000"
Total,"143,000","7,000","12,000","5,000","167,000"

Source: ,EFTEC and others – Scoping UK Urban Natural Capital Account
Notes
1,5dBA bands applied along with guidance in Defra’s noise pollution: economic analysis published in 2014. 
2,"The number of dwellings receiving mitigation from woodland in Scotland is likely to be lower than the rest of the UK because EFTEC and others (2018) used the Lden noise metric, which measures any level of noise over a 24-hour period, with penalties later at night. However, the LA1018h is used for the rest of the UK. This is because LA1018H was unavailable for Scotland."
