"Table 4: Felling areas under Statutory Plant Health Notices, thousand hectares, UK, between 2010 to 2011 and 2018 to 2019"


Year,England,Wales,Scotland,Northern Ireland,UK
2010 to 2011,1.2,0.8,0.0,0.3,2.3
2011 to 2012,0.5,0.5,0.1,0.1,1.1
2012 to 2013,0.5,1.5,0.4,0.2,2.5
2013 to 2014,0.8,4.6,0.3,0.5,6.2
2014 to 2015,0.3,0.4,0.0,0.0,0.7
2015 to 2016,0.2,1.5,0.1,0.0,1.8
2016 to 2017,0.3,0.2,0.2,0.0,0.7
2017 to 2018,0.1,1.3,0.3,0.1,1.7
2018 to 2019,0.6,1.9,1.4,0.0,3.8

Source: ,"Forestry Commission, Scottish Forestry, Natural Resources Wales, and Forest Service"
