"Figure 1: EGSS estimates of nature jobs in the UK have declined since 2010",""
"The number of full-time equivalent employees by selected EGSS activities, UK, 2010 to 2019",""
"",""
"Notes","1. The sum of the activities may not equal the total because of rounding."
"Unit","Full-time equivalent employees"
"",""
"","Organic agriculture","Management of forest ecosystems","In-house environmental activities and Management activities of government","Total"
"2010","12100","7200","5800","25100"
"2011","11500","7800","6800","26100"
"2012","10700","8000","5600","24300"
"2013","10000","7400","4300","21700"
"2014","9700","9800","5200","24800"
"2015","9300","10800","6000","26100"
"2016","8700","10900","5000","24600"
"2017","8800","8700","4400","21900"
"2018","8200","8100","4700","21000"
"2019","8400","8900","4300","21600"
